,city,lat,temp_max,windspeed,cloudiness,humidity
422,los pozos,8.45,89.01,8.01,94,65
423,barstow,31.46,70.0,4.7,1,39
424,patti,31.28,69.8,2.24,0,88
425,pangody,65.85,11.08,13.33,91,92
426,el llano,20.06,61.43,8.21,1,70
427,lasa,34.92,68.0,8.05,0,68
428,poopo,-18.38,63.64,8.46,9,25
429,garoua,9.31,78.8,1.41,14,83
430,kaduna,10.52,76.57,4.03,0,34
431,kahului,20.89,84.2,6.93,1,58
432,kasongo-lunda,-6.48,66.87,1.12,76,87
433,honningsvag,70.98,32.0,8.05,40,63
434,pelym,61.01,28.18,3.04,99,96
435,sopelana,43.38,59.0,11.41,40,82
436,castro,-42.48,53.6,12.75,75,71
437,yetkul,54.83,41.0,8.95,75,80
438,samarai,-10.62,75.76,3.42,99,91
439,poum,41.28,59.0,12.75,20,72
440,santiago del estero,-27.8,81.21,8.81,65,49
441,saurimo,-9.66,66.06,2.28,44,94
442,ayorou,14.73,89.1,6.73,90,12
443,tuatapere,-46.13,54.0,1.99,1,84
444,tymovskoye,50.85,29.68,2.35,100,98
445,praya,-8.71,73.4,1.99,20,88
446,hearst,49.69,22.59,9.13,100,59
447,karratha,-20.74,79.12,10.09,58,48
448,tchibanga,-2.92,74.01,1.3,93,93
449,vanimo,-2.67,80.55,8.63,100,79
450,birjand,32.86,44.6,6.6,0,48
451,ko samui,9.54,82.08,11.72,100,75
452,chara,39.42,59.0,4.7,20,82
453,black river,18.03,87.8,16.11,20,70
454,mao,19.55,88.0,11.41,40,66
455,galle,10.08,74.98,1.83,91,85
456,belmonte,40.36,53.01,5.86,31,89
457,jining,35.41,50.86,4.36,100,60
458,wageningen,51.98,50.0,3.36,90,100
459,camacha,33.08,68.0,16.11,75,59
460,zaterechnyy,44.8,47.43,0.63,57,91
461,itarema,-2.92,78.76,12.35,19,76
462,eston,51.15,24.01,18.34,90,79
463,taseyevo,57.22,22.64,5.86,100,78
464,lebu,8.96,60.8,13.87,20,55
465,halacho,20.48,88.0,10.29,90,62
466,porto novo,-23.68,87.8,4.7,40,40
467,coari,-4.09,91.76,1.68,100,53
468,barybino,55.27,54.0,15.66,75,76
469,lovington,32.94,64.99,4.7,5,44
470,port-gentil,-0.72,80.6,4.7,40,88
471,muli,28.08,54.99,3.04,80,75
472,namie,37.52,51.01,1.01,0,70
473,asyut,27.18,69.8,11.41,3,40
474,aykhal,65.95,-11.21,4.47,0,76
475,taybad,34.74,35.51,17.45,0,33
476,nuuk,64.17,33.8,5.82,75,86
477,radcliff,37.84,55.0,8.05,90,66
478,zyryanka,65.73,-2.49,10.02,99,97
479,kuryk,43.18,52.99,31.0,60,57
480,lewisporte,49.25,44.6,8.05,75,48
481,eureka,40.8,57.0,5.82,90,93
482,klerksdorp,-26.86,73.74,8.37,57,33
483,pushkino,56.01,54.0,20.13,40,87
484,evensk,61.92,28.29,30.51,100,90
485,petropavlovsk-kamchatskiy,53.05,35.6,4.47,20,74
486,ponta delgada,37.73,62.6,4.7,75,67
487,izhma,65.01,17.46,6.08,75,95
488,fort frances,48.61,19.99,11.41,90,62
489,ambilobe,-13.19,79.07,12.17,100,65
490,natal,-5.81,82.4,17.22,40,65
491,surgut,61.25,32.0,6.71,90,98
492,labuhan,-2.54,72.63,1.83,22,76
493,umtata,-31.59,69.8,4.7,100,77
494,harnosand,62.63,24.01,13.87,75,79
495,albanel,48.88,42.8,9.17,90,87
496,maragogi,-9.01,78.37,14.76,8,75
497,clifton springs,42.96,46.99,6.93,90,75
498,kurumkan,54.33,4.41,4.7,0,77
499,ust-maya,60.42,4.71,6.46,100,93
500,kailua,21.39,79.0,3.36,75,78
501,matamoros,25.87,86.0,10.29,75,62
502,yunyang,32.84,54.16,2.84,98,61
503,san carlos de bariloche,-41.13,59.0,28.86,96,38
504,namatanai,-3.66,81.37,12.08,100,75
505,ban nahin,18.24,66.18,4.65,54,86
506,broome,52.47,51.01,11.41,75,87
507,kokoda,-8.88,63.12,0.67,100,90
508,kilinochchi,9.4,77.45,0.63,65,76
509,marawi,8.0,73.99,4.0,94,89
510,alugan,12.22,78.21,4.0,26,88
511,viedma,-40.81,72.43,6.15,0,19
512,lhokseumawe,5.18,71.37,2.55,71,90
513,nanortalik,60.14,35.91,28.83,100,91
514,gornyak,51.0,34.7,8.25,94,73
515,cuamba,-14.8,75.02,6.58,95,58
516,pavilosta,56.89,41.0,9.17,100,100
517,morondava,-20.3,74.7,2.53,1,72
518,blagoyevo,63.37,16.16,0.58,100,86
519,yuzhno-kurilsk,44.03,45.32,27.18,57,62
520,ulladulla,-35.36,46.4,8.05,0,81
521,vinkovci,45.29,64.0,11.41,84,63
522,ankazoabo,-22.29,74.57,4.85,0,52
523,lerwick,60.15,41.0,10.29,20,74
524,dingli,28.39,74.08,7.09,0,28
525,aketi,2.74,71.38,1.59,0,89
526,pedasi,7.53,83.12,8.97,39,76
527,smithers,54.78,39.2,3.94,75,93
528,los llanos de aridane,28.66,71.6,17.22,20,78
529,redlands,34.06,90.0,4.7,1,10
530,bichura,50.59,20.66,2.08,0,81
531,chapleau,47.85,23.0,5.82,75,67
532,general roca,-39.03,78.8,9.17,0,12
533,maltrata,18.81,64.53,7.61,45,57
534,shubarkuduk,49.15,25.14,10.78,0,55
535,naze,5.43,77.0,3.47,75,94
536,doha,25.29,84.2,9.17,0,51
537,hukuntsi,-23.98,80.35,8.97,26,22
538,lata,30.78,24.6,2.39,0,36
539,cartagena,37.63,62.01,3.36,0,51
540,lakes entrance,-37.88,61.0,4.0,100,49
541,burriana,39.89,62.6,8.05,79,51
542,muros,42.77,57.99,4.7,75,100
543,sarangani,5.4,82.31,10.94,67,76
544,songkhla,7.2,75.2,2.24,40,100
545,vila,45.18,54.0,1.12,1,100
546,moerai,-22.43,72.64,7.49,100,63
547,harrisonburg,38.45,66.0,9.17,1,34
548,vallenar,-28.58,71.37,9.93,1,42
549,dudinka,69.41,10.4,22.37,100,78
550,mirzapur,25.15,68.0,4.7,24,82
